experiment_id,team,feature_category,base_rate,planned_mde,required_n_per_group,actual_n_per_group,sample_gap_ratio,adequately_sized
EXP-0001,Monetization,Content-Format,0.06,0.03,138539,9905,0.071,False
EXP-0002,Monetization,Pricing/Paywall,0.06,0.08,19924,14851,0.745,False
EXP-0003,Content-Algo,Notifications,0.4,0.05,4746,15825,3.334,True
EXP-0004,Growth,Recommendation-Algo,0.08,0.03,101658,3836,0.038,False
EXP-0005,Monetization,Onboarding-Flow,0.06,0.1,12864,31625,2.458,True
EXP-0006,Monetization,Notifications,0.04,0.1,19728,8739,0.443,False
EXP-0007,Growth,UI/UX,0.12,0.05,23516,8025,0.341,False
EXP-0008,Growth,Notifications,0.08,0.05,36922,35746,0.968,False
EXP-0009,Content-Algo,Recommendation-Algo,0.4,0.08,1862,7321,3.932,True
EXP-0010,Monetization,Content-Format,0.04,0.03,212299,28451,0.134,False
EXP-0011,Engagement,UI/UX,0.35,0.05,5896,35853,6.081,True
EXP-0012,Engagement,Onboarding-Flow,0.28,0.05,8194,8582,1.047,True
EXP-0013,Engagement,Notifications,0.35,0.08,2317,8313,3.588,True
EXP-0014,Content-Algo,Notifications,0.08,0.05,36922,15605,0.423,False
EXP-0015,Growth,Onboarding-Flow,0.12,0.08,9300,6288,0.676,False
EXP-0016,Monetization,UI/UX,0.015,0.08,83673,7501,0.09,False
EXP-0017,Engagement,Notifications,0.28,0.05,8194,2984,0.364,False
EXP-0018,Engagement,Pricing/Paywall,0.35,0.05,5896,31063,5.268,True
EXP-0019,Content-Algo,Onboarding-Flow,0.22,0.05,11328,8976,0.792,False
EXP-0020,Growth,UI/UX,0.08,0.05,36922,63010,1.707,True
EXP-0021,Engagement,Content-Format,0.28,0.08,3228,46342,14.356,True
EXP-0022,Growth,Notifications,0.03,0.03,286060,2924,0.01,False
EXP-0023,Content-Algo,Onboarding-Flow,0.22,0.05,11328,14809,1.307,True
EXP-0024,Monetization,Content-Format,0.015,0.05,211207,8733,0.041,False
EXP-0025,Content-Algo,Pricing/Paywall,0.08,0.08,14612,7866,0.538,False
EXP-0026,Engagement,UI/UX,0.35,0.08,2317,6338,2.735,True
EXP-0027,Engagement,UI/UX,0.28,0.08,3228,32807,10.163,True
EXP-0028,Monetization,Recommendation-Algo,0.04,0.05,77142,16026,0.208,False
EXP-0029,Content-Algo,Content-Format,0.22,0.05,11328,4312,0.381,False
EXP-0030,Engagement,UI/UX,0.28,0.03,22628,3021,0.134,False
EXP-0031,Monetization,Onboarding-Flow,0.06,0.03,138539,4230,0.031,False
EXP-0032,Monetization,Onboarding-Flow,0.06,0.08,19924,14491,0.727,False
EXP-0033,Content-Algo,UI/UX,0.08,0.05,36922,14050,0.381,False
EXP-0034,Growth,Content-Format,0.03,0.08,41174,8019,0.195,False
EXP-0035,Content-Algo,Onboarding-Flow,0.4,0.08,1862,46234,24.83,True
EXP-0036,Engagement,Content-Format,0.35,0.05,5896,15008,2.545,True
EXP-0037,Content-Algo,Content-Format,0.22,0.05,11328,14454,1.276,True
EXP-0038,Content-Algo,Notifications,0.22,0.05,11328,7089,0.626,False
EXP-0039,Growth,UI/UX,0.03,0.08,41174,6413,0.156,False
EXP-0040,Monetization,UI/UX,0.04,0.05,77142,8081,0.105,False
EXP-0041,Engagement,Notifications,0.35,0.03,16306,4526,0.278,False
EXP-0042,Engagement,Pricing/Paywall,0.35,0.1,1489,8006,5.377,True
EXP-0043,Content-Algo,Recommendation-Algo,0.22,0.1,2880,1983,0.689,False
EXP-0044,Monetization,Recommendation-Algo,0.06,0.05,50329,15113,0.3,False
EXP-0045,Content-Algo,Pricing/Paywall,0.4,0.08,1862,15037,8.076,True
EXP-0046,Growth,Pricing/Paywall,0.12,0.08,9300,6840,0.735,False
EXP-0047,Growth,Content-Format,0.12,0.05,23516,7732,0.329,False
EXP-0048,Content-Algo,Content-Format,0.08,0.08,14612,20738,1.419,True
EXP-0049,Engagement,Onboarding-Flow,0.45,0.1,966,16118,16.685,True
EXP-0050,Monetization,Recommendation-Algo,0.06,0.03,138539,8710,0.063,False
EXP-0051,Growth,Pricing/Paywall,0.03,0.03,286060,32259,0.113,False
